"標準地域コード","都道府県","政令市･郡･支庁･振興局等","政令市･郡･支庁･振興局等（ふりがな）","市区町村","市区町村（ふりがな）","廃置分合等施行年月日","改正事由"
"01202","北海道","","","函館市","はこだてし","2000-11-01","函館市(01202)が特例市に移行"
"01202","北海道","","","函館市","はこだてし","2004-12-01","戸井町(01339)、恵山町(01340)、椴法華村(01341)、南茅部町(01342)が函館市(01202)に編入"
"01202","北海道","","","函館市","はこだてし","2005-10-01","函館市(01202)が特例市から中核市に移行"
"01204","北海道","","","旭川市","あさひかわし","2000-04-01","旭川市(01204)が中核市に移行"
"01206","北海道","","","釧路市","くしろし","2005-10-11","釧路市(01206)、阿寒町(01666)、音別町(01669)が合併し、釧路市を新設"
"01208","北海道","","","北見市","きたみし","2006-03-05","北見市(01208)、端野町(01548)、留辺蘂町(01551)、常呂町(01553)が合併し、北見市を新設"
"01210","北海道","","","岩見沢市","いわみざわし","2006-03-27","北村(01421)、栗沢町(01422)が岩見沢市(01210)に編入"
"01220","北海道","","","士別市","しべつし","2005-09-01","士別市(01220)、朝日町(01466)が合併し、士別市を新設"
"01221","北海道","","","名寄市","なよろし","2006-03-27","名寄市(01221)、風連町(01467)が合併し、名寄市を新設"
"01233","北海道","","","伊達市","だてし","2006-03-01","大滝村(01574)が伊達市(01233)に編入"
"01235","北海道","","","石狩市","いしかりし","2005-10-01","厚田村(01305)、浜益村(01306)が石狩市(01235)に編入"
"01236","北海道","","","北斗市","ほくとし","2006-02-01","上磯町(01335)、大野町(01336)が合併し、北斗市(01236)を新設"
"01305","北海道","石狩支庁","いしかりしちょう","厚田村","あつたむら","2005-10-01","厚田村(01305)、浜益村(01306)が石狩市(01235)に編入"
"01306","北海道","石狩支庁","いしかりしちょう","浜益村","はまますむら","2005-10-01","厚田村(01305)、浜益村(01306)が石狩市(01235)に編入"
"01335","北海道","渡島支庁","おしましちょう","上磯町","かみいそちょう","2006-02-01","上磯町(01335)、大野町(01336)が合併し、北斗市(01236)を新設"
"01336","北海道","渡島支庁","おしましちょう","大野町","おおのちょう","2006-02-01","上磯町(01335)、大野町(01336)が合併し、北斗市(01236)を新設"
"01339","北海道","渡島支庁","おしましちょう","戸井町","といちょう","2004-12-01","戸井町(01339)、恵山町(01340)、椴法華村(01341)、南茅部町(01342)が函館市(01202)に編入"
"01340","北海道","渡島支庁","おしましちょう","恵山町","えさんちょう","2004-12-01","戸井町(01339)、恵山町(01340)、椴法華村(01341)、南茅部町(01342)が函館市(01202)に編入"
"01341","北海道","渡島支庁","おしましちょう","椴法華村","とどほっけむら","2004-12-01","戸井町(01339)、恵山町(01340)、椴法華村(01341)、南茅部町(01342)が函館市(01202)に編入"
"01342","北海道","渡島支庁","おしましちょう","南茅部町","みなみかやべちょう","2004-12-01","戸井町(01339)、恵山町(01340)、椴法華村(01341)、南茅部町(01342)が函館市(01202)に編入"
"01344","北海道","渡島支庁","おしましちょう","砂原町","さわらちょう","2005-04-01","砂原町(01344)、森町(01345)が合併し、森町を新設"
"01345","北海道","渡島支庁","おしましちょう","森町","もりまち","2005-04-01","砂原町(01344)、森町(01345)が合併し、森町を新設"
