Municipality,Code,Prefecture_Town_Japanese,Electoral_district,Electoral_district,year,ku_vote,ku_totvote,ku_electorate,ku_voteshare,
あさぎり町,43514,熊本県 あさぎり町,熊本県５区,Kumamoto 5,2012,90553,140362,241913,0.6451389977,
あま市,23237,愛知県 あま市,愛知県９区,Aichi 9,2012,93757,237959,424585,0.3940048496,
あわら市,18208,福井県 あわら市,福井県２区,Fukui 2,2012,68126,128820,217802,0.5288464524,
いすみ市,12238,千葉県 いすみ市,千葉県11区,Chiba 11,2012,128785,198009,372110,0.6503997293,
いちき串木野市,46219,鹿児島県 いちき串木野市,鹿児島県３区,Kagoshima 3,2012,70694,144578,258853,0.4889678928,
いなべ市,24214,三重県 いなべ市,三重県３区,Mie 3,2012,54903,197591,339973,0.2778618459,
いの町,39386,高知県 いの町,高知県２区,Kochi 2,2012,165406,217149,418226,0.724432842,x
いわき市,07204,福島県 いわき市,福島県５区,Fukushima 5,2012,61440,175829,332841,0.3494304125,
うきは市,40225,福岡県 うきは市,福岡県６区,Fukuoka 6,#N/A,#N/A,#N/A,#N/A,#N/A,
うるま市,47213,沖縄県 うるま市,沖縄県３区,Okinawa 3,2012,68523,157284,296778,0.4356641489,
えびの市,45209,宮崎県 えびの市,宮崎県３区,Miyazaki 3,2012,119174,145707,291138,0.8179016794,
えりも町,01609,北海道 えりも町,北海道９区,Hokkaido 9,2012,121145,219513,407288,0.5518807542,
おいらせ町,02412,青森県 おいらせ町,青森県２区,Aomori 2,2012,81937,125636,240111,0.6521777198,
おおい町,18483,福井県 おおい町,福井県３区,Fukui 3,2012,77543,133927,212266,0.5789945269,
かすみがうら市,08230,茨城県 かすみがうら市,茨城県６区,Ibaraki 6,2012,91121,238600,430505,0.381898575,
かつらぎ町,30341,和歌山県 かつらぎ町,和歌山県２区,Wakayama 2,2012,72957,138576,230728,0.5264764461,
かほく市,17209,石川県 かほく市,石川県３区,Ishikawa 3,2012,89266,163956,261870,0.5444509503,
さいたま市,11100,埼玉県 さいたま市,埼玉県５区,Saitama 5,2012,897868,2207162,3880354,0.4074424338,x
さくら市,09214,栃木県 さくら市,栃木県２区,Tochigi 2,2012,55853,144558,271462,0.3863708684,
さつま町,46392,鹿児島県 さつま町,鹿児島県３区,Kagoshima 3,2012,70694,144578,258853,0.4889678928,
さぬき市,37206,香川県 さぬき市,香川県２区,Kagawa 2,2012,72030,158193,270985,0.4553298819,
すさみ町,30406,和歌山県 すさみ町,和歌山県３区,Wakayama 3,2012,112916,186844,297907,0.6043330265,
せたな町,01371,北海道 せたな町,北海道８区,Hokkaido 8,2012,107937,227085,394235,0.4753154105,
たつの市,28229,兵庫県 たつの市,兵庫県12区,Hyogo 12,2012,56317,184501,302837,0.305239538,
つがる市,02209,青森県 つがる市,青森県４区,Aomori 4,2012,104544,157279,305753,0.6647041245,
つくばみらい市,08235,茨城県 つくばみらい市,茨城県６区,Ibaraki 6,2012,91121,238600,430505,0.381898575,
つくば市,08220,茨城県 つくば市,茨城県６区,Ibaraki 6,2012,91121,238600,430505,0.381898575,
つるぎ町,36468,徳島県 つるぎ町,徳島県３区,Tokushima 3,2012,70197,130586,213756,0.537553796,
