ward_code,muni_code,ward
1101,1100,Hokkaido Sapporo-shi Chuo-ku
1102,1100,Hokkaido Sapporo-shi Kita-ku
1103,1100,Hokkaido Sapporo-shi Higashi-ku
1104,1100,Hokkaido Sapporo-shi Shiroishi-ku
1105,1100,Hokkaido Sapporo-shi Toyohira-ku
1106,1100,Hokkaido Sapporo-shi Minami-ku
1107,1100,Hokkaido Sapporo-shi Nishi-ku
1108,1100,Hokkaido Sapporo-shi Atsubetsu-ku
1109,1100,Hokkaido Sapporo-shi Teine-ku
1110,1100,Hokkaido Sapporo-shi Kiyota-ku
4101,4100,Miyagi-ken Sendai-shi Aoba-ku
4102,4100,Miyagi-ken Sendai-shi Miyagino-ku
4103,4100,Miyagi-ken Sendai-shi Wakabayashi-ku
4104,4100,Miyagi-ken Sendai-shi Taihaku-ku
4105,4100,Miyagi-ken Sendai-shi Izumi-ku
11101,11100,Saitama-ken Saitama-shi Nishi-ku
11102,11100,Saitama-ken Saitama-shi Kita-ku
11103,11100,Saitama-ken Saitama-shi Omiya-ku
11104,11100,Saitama-ken Saitama-shi Minuma-ku
11105,11100,Saitama-ken Saitama-shi Chuo-ku
11106,11100,Saitama-ken Saitama-shi Sakura-ku
11107,11100,Saitama-ken Saitama-shi Urawa-ku
11108,11100,Saitama-ken Saitama-shi Minami-ku
11109,11100,Saitama-ken Saitama-shi Midori-ku
11110,11100,Saitama-ken Saitama-shi Iwatsuki-ku
12101,12100,Chiba-ken Chiba-shi Chuo-ku
12102,12100,Chiba-ken Chiba-shi Hanamigawa-ku
12103,12100,Chiba-ken Chiba-shi Inage-ku
12104,12100,Chiba-ken Chiba-shi Wakaba-ku
12105,12100,Chiba-ken Chiba-shi Midori-ku
12106,12100,Chiba-ken Chiba-shi Mihama-ku
14101,14100,Kanagawa-ken Yokohama-shi Tsurumi-ku
14102,14100,Kanagawa-ken Yokohama-shi Kanagawa-ku
14103,14100,Kanagawa-ken Yokohama-shi Nishi-ku
14104,14100,Kanagawa-ken Yokohama-shi Naka-ku
14105,14100,Kanagawa-ken Yokohama-shi Minami-ku
14106,14100,Kanagawa-ken Yokohama-shi Hodogaya-ku
14107,14100,Kanagawa-ken Yokohama-shi Isogo-ku
14108,14100,Kanagawa-ken Yokohama-shi Kanazawa-ku
14109,14100,Kanagawa-ken Yokohama-shi Kohoku-ku
14110,14100,Kanagawa-ken Yokohama-shi Totsuka-ku
14111,14100,Kanagawa-ken Yokohama-shi Konan-ku
14112,14100,Kanagawa-ken Yokohama-shi Asahi-ku
14113,14100,Kanagawa-ken Yokohama-shi Midori-ku
14114,14100,Kanagawa-ken Yokohama-shi Seya-ku
14115,14100,Kanagawa-ken Yokohama-shi Sakae-ku
14116,14100,Kanagawa-ken Yokohama-shi Izumi-ku
14117,14100,Kanagawa-ken Yokohama-shi Aoba-ku
14118,14100,Kanagawa-ken Yokohama-shi Tsuzuki-ku
14131,14130,Kanagawa-ken Kawasaki-shi Kawasaki-ku
14132,14130,Kanagawa-ken Kawasaki-shi Saiwai-ku
14133,14130,Kanagawa-ken Kawasaki-shi Nakahara-ku
14134,14130,Kanagawa-ken Kawasaki-shi Takatsu-ku
14135,14130,Kanagawa-ken Kawasaki-shi Tama-ku
